City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
204,Nianzishan,CN,2020-06-17 03:44:43,47.52,122.88,73.54,44,0,11.77
205,Manama,BH,2020-06-17 03:44:44,26.22,50.58,91.4,55,0,13.87
206,Placido De Castro,BR,2020-06-17 03:44:44,-10.34,-67.19,71.83,77,0,1.48
207,Mascote,BR,2020-06-17 03:44:44,-15.56,-39.3,65.98,98,17,2.33
208,Kavaratti,IN,2020-06-17 03:44:44,10.57,72.64,84.27,78,100,21.47
209,Portland,US,2020-06-17 03:30:47,45.52,-122.68,61.0,77,75,6.93
210,Wellington,NZ,2020-06-17 03:44:45,-41.29,174.78,59.0,93,83,21.92
211,Ketchikan,US,2020-06-17 03:44:45,55.34,-131.65,57.2,71,90,8.05
212,Tuy Hoa,VN,2020-06-17 03:44:45,13.08,109.3,87.46,63,83,5.06
213,Bambous Virieux,MU,2020-06-17 03:35:02,-20.34,57.76,71.6,78,75,16.11
214,Simoes,BR,2020-06-17 03:44:45,-7.6,-40.82,69.98,81,3,16.22
215,Narsaq,GL,2020-06-17 03:44:46,60.92,-46.05,39.2,86,45,8.05
216,Kiama,AU,2020-06-17 03:44:46,-34.68,150.87,62.01,81,90,1.99
217,Hay River,CA,2020-06-17 03:44:46,60.82,-115.8,42.8,81,40,6.93
218,Saldanha,ZA,2020-06-17 03:44:46,-33.01,17.94,48.2,76,0,2.24
219,Lorengau,PG,2020-06-17 03:44:47,-2.02,147.27,84.13,75,26,5.26
220,Baghdad,IQ,2020-06-17 03:43:02,33.34,44.4,78.8,50,0,8.05
221,Tartus,SY,2020-06-17 03:44:47,34.89,35.89,66.2,72,0,3.36
222,Totness,SR,2020-06-17 03:44:47,5.88,-56.32,77.92,89,100,7.31
223,Sisimiut,GL,2020-06-17 03:44:47,66.94,-53.67,35.29,86,94,4.34
224,Kodiak,US,2020-06-17 03:44:47,57.79,-152.41,51.8,87,90,18.34
225,Meulaboh,ID,2020-06-17 03:35:13,4.14,96.13,83.62,64,88,2.46
226,Mpika,ZM,2020-06-17 03:44:48,-11.83,31.45,46.76,96,2,6.73
227,Srednekolymsk,RU,2020-06-17 03:44:48,67.45,153.68,86.02,22,84,5.99
228,Thompson,CA,2020-06-17 03:44:48,55.74,-97.86,71.6,40,75,8.05
229,San Rafael,AR,2020-06-17 03:42:29,-34.62,-68.33,45.59,57,0,4.63
230,Clyde River,CA,2020-06-17 03:44:48,70.47,-68.59,37.4,88,90,3.36
231,Reconquista,AR,2020-06-17 03:44:49,-29.15,-59.65,70.25,76,99,12.55
232,Lagoa,PT,2020-06-17 03:44:49,39.05,-27.98,64.58,87,69,15.12
233,Harper,LR,2020-06-17 03:44:49,4.38,-7.72,77.16,90,99,11.1
234,Camacha,PT,2020-06-17 03:44:43,33.08,-16.33,68.0,94,40,2.24
235,Sorong,ID,2020-06-17 03:44:50,-0.88,131.25,84.18,77,41,7.4
236,Horki,BY,2020-06-17 03:44:50,54.29,30.98,63.97,92,0,6.89
237,Siirt,TR,2020-06-17 03:40:18,37.93,41.94,66.2,59,0,3.36
238,Chuy,UY,2020-06-17 03:44:50,-33.7,-53.46,61.75,94,91,9.4
239,Chicama,PE,2020-06-17 03:44:50,-7.84,-79.15,64.31,83,36,7.36
240,Camocim,BR,2020-06-17 03:44:51,-2.9,-40.84,77.2,84,0,11.63
241,Hukuntsi,BW,2020-06-17 03:44:51,-24.0,21.75,39.22,73,0,7.09
242,Assiniboia,CA,2020-06-17 03:43:59,49.63,-105.98,57.11,92,97,15.64
243,Namatanai,PG,2020-06-17 03:44:51,-3.67,152.43,83.91,71,53,2.15
244,Topolobampo,MX,2020-06-17 03:44:51,25.6,-109.05,82.0,66,0,1.01
245,Pemberton,CA,2020-06-17 03:40:57,50.32,-122.8,61.92,49,35,3.74
246,Plettenberg Bay,ZA,2020-06-17 03:44:40,-34.05,23.37,56.88,58,0,5.57
247,Gazanjyk,TM,2020-06-17 03:44:52,39.24,55.52,87.44,13,0,18.77
248,Cabo San Lucas,MX,2020-06-17 03:44:26,22.89,-109.91,91.4,14,40,14.63
249,Tucuma,BR,2020-06-17 03:44:52,-0.18,-50.05,75.9,91,50,4.68
250,Bathsheba,BB,2020-06-17 03:35:16,13.22,-59.52,80.6,78,40,20.8
